SURVEY_ID,STUDENT_ID,MBTI_TYPE,VARK_Modality
1,B2,ISFJ,Sentinels
2,C1,ENFJ,Diplomats
3,B1,ISTJ,Sentinels
4,C11,ESTJ,Sentinels
5,A2,ISTJ,Sentinels
6,A11,ESTJ,Sentinels
7,D3,INTP,Analysts
8,A1,INTJ,Analysts
9,C8,INTP,Analysts
10,B7,ENFP,Diplomats
11,A6,ENFJ,Diplomats
12,C7,ISFJ,Sentinels
13,A9,ESFJ,Sentinels
14,B11,ISFJ,Sentinels
15,C10,ESTJ,Sentinels
16,D10,ISTJ,Sentinels
17,A10,ESTJ,Sentinels
18,A3,ISTJ,Sentinels
19,C4,ISTJ,Sentinels
20,A7,ESFJ,Sentinels
21,B4,INFP,Diplomats
22,A8,ISTJ,Sentinels
23,B8,ENTJ,Analysts
24,D8,ESTJ,Sentinels
